year,spatial_unit,age,nat,sex,n_jan,births,hist_imm_nat_n,hist_imm_int_n,hist_imm_sub_n,hist_emi_sub_n
2022,1,0,ch,m,0,480,8,1,8,24
2022,1,1,ch,m,552,0,17,2,37,62
2022,1,2,ch,m,526,0,23,3,29,38
2022,1,3,ch,m,501,0,7,3,20,35
2022,1,4,ch,m,478,0,7,5,18,30
2022,1,5,ch,m,464,0,8,0,11,21
2022,1,6,ch,m,464,0,4,2,8,9
2022,1,7,ch,m,465,0,5,3,11,14
2022,1,8,ch,m,469,0,5,3,7,8
2022,1,9,ch,m,453,0,7,5,8,9
2022,1,10,ch,m,449,0,2,0,3,7
2022,1,11,ch,m,482,0,1,1,5,4
2022,1,12,ch,m,476,0,4,1,5,7
2022,1,13,ch,m,478,0,3,2,6,7
2022,1,14,ch,m,451,0,2,0,9,6
2022,1,15,ch,m,450,0,4,3,4,5
2022,1,16,ch,m,470,0,0,1,7,8
2022,1,17,ch,m,451,0,0,0,8,9
2022,1,18,ch,m,466,0,5,1,5,13
2022,1,19,ch,m,471,0,4,3,12,10
2022,1,20,ch,m,451,0,6,1,15,24
2022,1,21,ch,m,481,0,11,0,36,22
2022,1,22,ch,m,524,0,16,3,34,37
2022,1,23,ch,m,520,0,26,4,63,43
2022,1,24,ch,m,630,0,19,1,77,61
2022,1,25,ch,m,589,0,31,2,83,64
2022,1,26,ch,m,719,0,34,2,106,76
2022,1,27,ch,m,683,0,43,5,99,77
2022,1,28,ch,m,679,0,47,2,88,69
2022,1,29,ch,m,810,0,46,1,84,60
2022,1,30,ch,m,857,0,47,2,75,87
2022,1,31,ch,m,803,0,49,1,58,76
2022,1,32,ch,m,823,0,39,1,51,85
2022,1,33,ch,m,779,0,34,4,58,89
2022,1,34,ch,m,779,0,42,1,34,68
2022,1,35,ch,m,719,0,20,2,36,59
2022,1,36,ch,m,784,0,28,0,39,63
2022,1,37,ch,m,682,0,18,1,29,45
2022,1,38,ch,m,750,0,17,3,33,48
2022,1,39,ch,m,694,0,19,3,21,43
2022,1,40,ch,m,659,0,22,1,20,40
2022,1,41,ch,m,652,0,15,2,20,32
2022,1,42,ch,m,607,0,7,3,12,27
2022,1,43,ch,m,633,0,13,1,19,17
2022,1,44,ch,m,551,0,11,1,11,17
2022,1,45,ch,m,560,0,7,1,17,21
2022,1,46,ch,m,518,0,11,1,15,27
2022,1,47,ch,m,570,0,4,3,12,12
2022,1,48,ch,m,579,0,13,0,14,16
2022,1,49,ch,m,596,0,9,4,8,17
2022,1,50,ch,m,599,0,11,3,10,11
2022,1,51,ch,m,649,0,8,3,10,17
2022,1,52,ch,m,646,0,5,0,15,13
2022,1,53,ch,m,612,0,5,2,21,13
2022,1,54,ch,m,700,0,8,0,7,17
2022,1,55,ch,m,708,0,2,2,7,15
2022,1,56,ch,m,740,0,9,5,7,11
2022,1,57,ch,m,683,0,5,1,14,10
2022,1,58,ch,m,719,0,13,4,10,12
2022,1,59,ch,m,709,0,9,2,10,16
2022,1,60,ch,m,692,0,1,1,7,8
2022,1,61,ch,m,719,0,4,0,8,12
2022,1,62,ch,m,667,0,7,1,6,7
2022,1,63,ch,m,645,0,5,3,6,11
2022,1,64,ch,m,610,0,4,2,6,10
2022,1,65,ch,m,598,0,8,1,6,8
2022,1,66,ch,m,586,0,8,1,10,4
2022,1,67,ch,m,608,0,8,2,6,7
2022,1,68,ch,m,555,0,4,0,8,8
2022,1,69,ch,m,518,0,2,0,0,5
2022,1,70,ch,m,517,0,3,2,6,4
2022,1,71,ch,m,476,0,5,1,3,5
2022,1,72,ch,m,458,0,2,2,2,2
2022,1,73,ch,m,456,0,1,1,6,2
2022,1,74,ch,m,458,0,1,0,1,4
2022,1,75,ch,m,491,0,4,0,9,1
2022,1,76,ch,m,469,0,0,1,7,4
2022,1,77,ch,m,465,0,2,0,3,2
2022,1,78,ch,m,415,0,1,1,3,3
2022,1,79,ch,m,416,0,1,0,7,2
2022,1,80,ch,m,402,0,3,0,1,4
2022,1,81,ch,m,366,0,2,0,3,1
2022,1,82,ch,m,268,0,2,0,4,4
2022,1,83,ch,m,281,0,0,2,5,0
2022,1,84,ch,m,267,0,1,0,3,2
2022,1,85,ch,m,226,0,0,0,3,1
2022,1,86,ch,m,198,0,1,0,4,1
2022,1,87,ch,m,184,0,6,0,3,1
2022,1,88,ch,m,185,0,1,0,1,1
2022,1,89,ch,m,148,0,1,0,0,1
2022,1,90,ch,m,140,0,1,0,1,2
2022,1,91,ch,m,112,0,0,0,5,3
2022,1,92,ch,m,94,0,0,0,0,0
2022,1,93,ch,m,68,0,0,0,2,0
2022,1,94,ch,m,57,0,0,0,1,3
2022,1,95,ch,m,40,0,0,0,0,0
2022,1,96,ch,m,21,0,0,0,0,0
2022,1,97,ch,m,12,0,0,0,0,1
2022,1,98,ch,m,7,0,1,0,0,0
2022,1,99,ch,m,9,0,0,0,0,0
2022,1,100,ch,m,10,0,0,0,0,0
2022,1,0,ch,f,0,454,10,3,9,16
2022,1,1,ch,f,544,0,10,3,26,61
2022,1,2,ch,f,477,0,14,5,22,45
2022,1,3,ch,f,434,0,11,5,18,34
2022,1,4,ch,f,462,0,7,3,19,28
2022,1,5,ch,f,455,0,6,1,15,14
2022,1,6,ch,f,425,0,4,2,6,8
2022,1,7,ch,f,498,0,3,0,6,6
2022,1,8,ch,f,432,0,4,2,6,9
2022,1,9,ch,f,404,0,3,1,6,3
2022,1,10,ch,f,450,0,0,1,6,7
2022,1,11,ch,f,452,0,1,1,3,3
2022,1,12,ch,f,464,0,4,2,5,6
2022,1,13,ch,f,421,0,4,0,5,3
