age,sex,nat,year,spatial_unit,n
0,m,ch,2025,1,428
1,m,ch,2025,1,446
2,m,ch,2025,1,430
3,m,ch,2025,1,445
4,m,ch,2025,1,526
5,m,ch,2025,1,527
6,m,ch,2025,1,480
7,m,ch,2025,1,496
8,m,ch,2025,1,489
9,m,ch,2025,1,490
10,m,ch,2025,1,492
11,m,ch,2025,1,504
12,m,ch,2025,1,487
13,m,ch,2025,1,485
14,m,ch,2025,1,517
15,m,ch,2025,1,503
16,m,ch,2025,1,523
17,m,ch,2025,1,500
18,m,ch,2025,1,484
19,m,ch,2025,1,483
20,m,ch,2025,1,493
21,m,ch,2025,1,489
22,m,ch,2025,1,525
23,m,ch,2025,1,471
24,m,ch,2025,1,557
25,m,ch,2025,1,630
26,m,ch,2025,1,663
27,m,ch,2025,1,706
28,m,ch,2025,1,694
29,m,ch,2025,1,818
30,m,ch,2025,1,754
31,m,ch,2025,1,702
32,m,ch,2025,1,815
33,m,ch,2025,1,808
34,m,ch,2025,1,753
35,m,ch,2025,1,754
36,m,ch,2025,1,744
37,m,ch,2025,1,693
38,m,ch,2025,1,674
39,m,ch,2025,1,733
40,m,ch,2025,1,639
41,m,ch,2025,1,728
42,m,ch,2025,1,684
43,m,ch,2025,1,654
44,m,ch,2025,1,642
45,m,ch,2025,1,626
46,m,ch,2025,1,645
47,m,ch,2025,1,588
48,m,ch,2025,1,572
49,m,ch,2025,1,538
50,m,ch,2025,1,608
51,m,ch,2025,1,581
52,m,ch,2025,1,605
53,m,ch,2025,1,597
54,m,ch,2025,1,664
55,m,ch,2025,1,651
56,m,ch,2025,1,635
57,m,ch,2025,1,690
58,m,ch,2025,1,687
59,m,ch,2025,1,751
60,m,ch,2025,1,697
61,m,ch,2025,1,705
62,m,ch,2025,1,687
63,m,ch,2025,1,655
64,m,ch,2025,1,676
65,m,ch,2025,1,614
66,m,ch,2025,1,615
67,m,ch,2025,1,571
68,m,ch,2025,1,569
69,m,ch,2025,1,565
70,m,ch,2025,1,557
71,m,ch,2025,1,537
72,m,ch,2025,1,472
73,m,ch,2025,1,492
74,m,ch,2025,1,431
75,m,ch,2025,1,429
76,m,ch,2025,1,424
77,m,ch,2025,1,427
78,m,ch,2025,1,449
79,m,ch,2025,1,429
80,m,ch,2025,1,419
81,m,ch,2025,1,374
82,m,ch,2025,1,358
83,m,ch,2025,1,340
84,m,ch,2025,1,305
85,m,ch,2025,1,205
